title,year,duration,rating,directors,stars
Memento,2000,1h 53m,8.4,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Dune: Part Two,2024,2h 46m,8.4,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
Raiders of the Lost Ark,1981,1h 55m,8.4,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman"
Avengers: Infinity War,2018,2h 29m,8.4,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
The Lives of Others,2006,2h 17m,8.4,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld"
Sunset Boulevard,1950,1h 50m,8.4,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim"
Witness for the Prosecution,1957,1h 56m,8.4,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton"
Paths of Glory,1957,1h 28m,8.4,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou"
The Shining,1980,2h 26m,8.4,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
The Great Dictator,1940,2h 5m,8.4,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
Inglourious Basterds,2009,2h 33m,8.4,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
Aliens,1986,2h 17m,8.4,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn"
12th Fail,2023,2h 27m,8.7,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
High and Low,1963,2h 23m,8.4,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
The Dark Knight Rises,2012,2h 44m,8.4,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
Coco,2017,1h 45m,8.4,"Adrian Molina, Lee Unkrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Avengers: Endgame,2019,3h 1m,8.4,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Amadeus,1984,2h 40m,8.4,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
Good Will Hunting,1997,2h 6m,8.3,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck"
Toy Story,1995,1h 21m,8.3,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
Your Name.,2016,1h 46m,8.4,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
Das Boot,1981,2h 29m,8.4,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
Oldboy,2003,2h,8.3,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,8.3,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden"
