title,year,duration,rating,directors,stars
Some Like It Hot,1959,2h 1m,8.2,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon"
Jurassic Park,1993,2h 7m,8.2,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
There Will Be Blood,2007,2h 38m,8.2,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
The Kid,1921,1h 8m,8.2,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan"
The Father,2020,1h 37m,8.2,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
All About Eve,1950,2h 18m,8.2,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders"
The Sixth Sense,1999,1h 47m,8.2,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette"
Ran,1985,2h 40m,8.2,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
Casino,1995,2h 58m,8.2,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
The Chaos Class Failed the Class,1975,1h 35m,8.6,Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal"
No Country for Old Men,2007,2h 2m,8.2,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin"
The Thing,1982,1h 49m,8.2,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David"
Top Gun: Maverick,2022,2h 10m,8.2,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
Pan's Labyrinth,2006,1h 58m,8.2,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López"
Unforgiven,1992,2h 10m,8.2,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman"
Prisoners,2013,2h 33m,8.2,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
1,2003,1h 51m,8.2,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah"
A Beautiful Mind,2001,2h 15m,8.2,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly"
The Treasure of the Sierra Madre,1948,2h 6m,8.2,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt"
Howl's Moving Castle,2004,1h 59m,8.2,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
Finding Nemo,2003,1h 40m,8.2,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould"
Yojimbo,1961,1h 50m,8.2,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
The Great Escape,1963,2h 52m,8.2,John Sturges,"Steve McQueen, James Garner, Richard Attenborough"
Monty Python and the Holy Grail,1975,1h 31m,8.2,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle"
The Best of Youth,2003,6h 14m,8.4,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
The Elephant Man,1980,2h 4m,8.2,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft"
Klaus,2019,1h 36m,8.2,"Carlos Martínez López, Sergio Pablos","Jason Schwartzman, J.K. Simmons, Rashida Jones"
Dial M for Murder,1954,1h 45m,8.2,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings"
